N,Processes,Chunk_Size,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
40000000,1,32,15.038806,0.006889,15.303479
40000000,2,32,7.639174,0.475250,7.953337
40000000,4,32,4.221391,0.690302,4.554335
40000000,8,32,1.861851,0.154704,2.229498
40000000,16,32,0.913590,0.171946,1.341919
40000000,32,32,0.895082,0.690701,1.571952
40000000,128,32,0.220544,0.519900,0.889118
