N,Processes,Chunk_Size,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
40000000,1,1,14.395070,0.004817,14.629628
40000000,2,1,7.203739,0.044223,7.470007
40000000,4,1,3.604662,0.113641,3.952062
40000000,8,1,1.810415,0.114464,2.156070
40000000,16,1,1.264105,0.455263,1.630666
40000000,32,1,0.464302,0.270950,0.960624
40000000,64,1,0.452152,0.501160,1.027617
