Processes,Rank,Jobs,Computation_Time_sec
1,0,19999999,14.380401885
2,0,10000000,7.196342286
2,1,9999999,7.200032510
4,0,5000000,3.600025352
4,1,5000000,3.605411212
4,2,5000000,3.604197078
4,3,4999999,3.598464111
8,0,2500000,1.805452472
8,1,2500000,1.807456344
8,2,2500000,1.804147085
8,3,2500000,1.807251335
8,4,2500000,1.806498296
8,5,2500000,1.805622404
8,6,2500000,1.808471119
8,7,2499999,1.804538006
16,0,1250000,0.907449808
16,1,1250000,0.910334302
16,2,1250000,0.913292635
16,3,1250000,0.909023244
16,4,1250000,0.911322176
16,5,1250000,0.911152925
16,6,1250000,0.910590428
16,7,1250000,0.911272692
16,8,1250000,0.912887026
16,9,1250000,0.910837155
16,10,1250000,0.905144835
16,11,1250000,0.909999887
16,12,1250000,0.923215292
16,13,1250000,0.909675371
16,14,1250000,0.911332636
16,15,1249999,0.917140065
32,0,625008,0.458379120
32,1,625008,0.460204424
32,2,625008,0.454756136
32,3,625008,0.457073323
32,4,625008,0.456463576
32,5,625008,0.457888529
32,6,625008,0.458636679
32,7,625008,0.455384859
32,8,625008,0.456933367
32,9,625008,0.454919366
32,10,625008,0.454822952
32,11,625008,0.455713132
32,12,625008,0.457120752
32,13,625008,0.458532782
32,14,625008,0.457534558
32,15,625007,0.458387035
32,16,624992,0.453949507
32,17,624992,0.456347230
32,18,624992,0.456110429
32,19,624992,0.455033430
32,20,624992,0.452827972
32,21,624992,0.461202341
32,22,624992,0.678123329
32,23,624992,0.454426455
32,24,624992,0.455424954
32,25,624992,0.500834567
32,26,624992,0.453575095
32,27,624992,0.453784323
32,28,624992,0.677104470
32,29,624992,0.687351452
32,30,624992,0.455445965
32,31,624992,0.461312960
128,0,156256,0.121491611
128,1,156256,0.119958783
128,2,156256,0.120605630
128,3,156256,0.121095720
128,4,156256,0.120166297
128,5,156256,0.120997453
128,6,156256,0.120151719
128,7,156256,0.119063444
128,8,156256,0.120372368
128,9,156256,0.118772322
128,10,156256,0.118382643
128,11,156256,0.119960135
128,12,156256,0.118763154
128,13,156256,0.118108141
128,14,156256,0.117211751
128,15,156256,0.120041731
128,16,156256,0.118045471
128,17,156256,0.118269598
128,18,156256,0.117577942
128,19,156256,0.117036101
128,20,156256,0.116840519
128,21,156256,0.116973792
128,22,156256,0.116546949
128,23,156256,0.116995633
128,24,156256,0.116996655
128,25,156256,0.116669443
128,26,156256,0.116461577
128,27,156256,0.116981767
128,28,156256,0.116202003
128,29,156256,0.117185685
128,30,156256,0.118538399
128,31,156256,0.117815164
128,32,156256,0.117159661
128,33,156256,0.117131248
128,34,156256,0.117406548
128,35,156256,0.117254631
128,36,156256,0.118427727
128,37,156256,0.117620062
128,38,156256,0.117767800
128,39,156256,0.116849356
128,40,156256,0.116441474
128,41,156256,0.116980323
128,42,156256,0.116340243
128,43,156256,0.117213022
128,44,156256,0.116434270
128,45,156256,0.116835068
128,46,156256,0.116938183
128,47,156256,0.117319443
128,48,156256,0.119498856
128,49,156256,0.117039531
128,50,156256,0.118848357
128,51,156256,0.117411764
128,52,156256,0.118263313
128,53,156256,0.118453962
128,54,156256,0.119025632
128,55,156256,0.118427643
128,56,156256,0.118260747
128,57,156256,0.119661273
128,58,156256,0.118373170
128,59,156256,0.118101156
128,60,156256,0.117687104
128,61,156256,0.118569020
128,62,156256,0.118214340
128,63,156256,0.117342443
128,64,156256,0.116765160
128,65,156256,0.116936152
128,66,156256,0.116747887
128,67,156256,0.118463665
128,68,156256,0.117473005
128,69,156256,0.116344525
128,70,156256,0.117666240
128,71,156256,0.117469188
128,72,156256,0.116727268
128,73,156256,0.117085123
128,74,156256,0.131336202
128,75,156256,0.117762251
128,76,156256,0.118313481
128,77,156256,0.116931092
128,78,156256,0.117325317
128,79,156255,0.130428008
128,80,156240,0.117844165
128,81,156240,0.120497557
128,82,156240,0.119953660
128,83,156240,0.120260769
128,84,156240,0.118262796
128,85,156240,0.118292352
128,86,156240,0.118169860
128,87,156240,0.118917222
128,88,156240,0.119627404
128,89,156240,0.117705323
128,90,156240,0.118495355
128,91,156240,0.118843853
128,92,156240,0.117652974
128,93,156240,0.118858992
128,94,156240,0.118996712
128,95,156240,0.118517226
128,96,156240,0.116491805
128,97,156240,0.116707122
128,98,156240,0.117211174
128,99,156240,0.117103862
128,100,156240,0.115720348
128,101,156240,0.117385713
128,102,156240,0.117376135
128,103,156240,0.117430348
128,104,156240,0.116930444
128,105,156240,0.117216645
128,106,156240,0.116806229
128,107,156240,0.116994576
128,108,156240,0.116965811
128,109,156240,0.116227216
128,110,156240,0.116447080
128,111,156240,0.117005546
128,112,156240,0.117498528
128,113,156240,0.119356919
128,114,156240,0.117337674
128,115,156240,0.117558322
128,116,156240,0.117385334
128,117,156240,0.117661517
128,118,156240,0.117133387
128,119,156240,0.116603374
128,120,156240,0.118296630
128,121,156240,0.117104653
128,122,156240,0.116799054
128,123,156240,0.116425306
128,124,156240,0.117484172
128,125,156240,0.116386833
128,126,156240,0.116742086
128,127,156240,0.117741749
