Processes,Rank,Jobs,Computation_Time_sec
1,0,19999999,14.376180486
2,0,10000000,7.193149920
2,1,9999999,7.191353003
4,0,5000000,3.600563447
4,1,5000000,3.601594305
4,2,5000000,3.598786168
4,3,4999999,3.599539753
8,0,2500000,1.804566646
8,1,2500000,1.804159396
8,2,2500000,1.804536398
8,3,2500000,1.804308027
8,4,2500000,1.801285014
8,5,2500000,1.803099554
8,6,2500000,1.805145008
8,7,2499999,1.804339566
16,0,1250016,0.916723866
16,1,1250016,0.911625222
16,2,1250016,0.914851238
16,3,1250016,0.912605363
16,4,1250016,0.914957288
16,5,1250016,0.911747803
16,6,1250016,0.914005891
16,7,1250015,0.917978327
16,8,1249984,0.916961937
16,9,1249984,0.915700693
16,10,1249984,0.915978910
16,11,1249984,0.911427057
16,12,1249984,0.912566791
16,13,1249984,0.913847171
16,14,1249984,0.913148380
16,15,1249984,0.915107953
32,0,625024,0.455385539
32,1,625024,0.454673874
32,2,625024,0.454527277
32,3,625024,0.454124536
32,4,625024,0.454627496
32,5,625024,0.453778862
32,6,625024,0.453849827
32,7,625023,0.453422459
32,8,624992,0.456323341
32,9,624992,0.457364208
32,10,624992,0.454611145
32,11,624992,0.453656742
32,12,624992,0.454382894
32,13,624992,0.455134484
32,14,624992,0.454949745
32,15,624992,0.455348640
32,16,624992,0.455179645
32,17,624992,0.454279417
32,18,624992,0.454385277
32,19,624992,0.453512670
32,20,624992,0.453343942
32,21,624992,0.454132810
32,22,624992,0.453323213
32,23,624992,0.453931700
32,24,624992,0.454272433
32,25,624992,0.453963470
32,26,624992,0.454973325
32,27,624992,0.454553223
32,28,624992,0.453314737
32,29,624992,0.454457262
32,30,624992,0.454449287
32,31,624992,0.454907351
64,0,312512,0.232044482
64,1,312512,0.233630978
64,2,312512,0.233415602
64,3,312512,0.231485726
64,4,312512,0.231742060
64,5,312512,0.229805352
64,6,312512,0.230595865
64,7,312512,0.233850042
64,8,312512,0.234949750
64,9,312512,0.233875160
64,10,312512,0.231276100
64,11,312512,0.231611824
64,12,312512,0.233197750
64,13,312512,0.230278526
64,14,312512,0.230044824
64,15,312512,0.232997322
64,16,312512,0.231869646
64,17,312512,0.234944888
64,18,312512,0.234785517
64,19,312512,0.234337913
64,20,312512,0.231395673
64,21,312512,0.232513432
64,22,312512,0.234666232
64,23,312512,0.232504504
64,24,312512,0.230871454
64,25,312512,0.230588751
64,26,312512,0.234932444
64,27,312512,0.235380019
64,28,312512,0.231990044
64,29,312512,0.235532166
64,30,312512,0.235141720
64,31,312512,0.234561605
64,32,312512,0.230837716
64,33,312512,0.230371337
64,34,312512,0.232446421
64,35,312512,0.233919952
64,36,312512,0.351739179
64,37,312512,0.232414191
64,38,312512,0.232976662
64,39,312511,0.233200014
64,40,312480,0.230190666
64,41,312480,0.351766600
64,42,312480,0.234295621
64,43,312480,0.234064925
64,44,312480,0.234347598
64,45,312480,0.231530132
64,46,312480,0.232282493
64,47,312480,0.232880821
64,48,312480,0.359548866
64,49,312480,0.235659107
64,50,312480,0.233656005
64,51,312480,0.235577974
64,52,312480,0.234695828
64,53,312480,0.237387722
64,54,312480,0.232756256
64,55,312480,0.235608261
64,56,312480,0.358824147
64,57,312480,0.234102609
64,58,312480,0.236443880
64,59,312480,0.235207395
64,60,312480,0.234698674
64,61,312480,0.236503231
64,62,312480,0.234149787
64,63,312480,0.233584450
