Processes,Rank,Jobs,Computation_Time_sec
1,0,19999999,14.366596581
2,0,10000000,7.197197024
2,1,9999999,7.197712328
4,0,5000000,3.604072803
4,1,5000000,3.603236293
4,2,5000000,3.602537132
4,3,4999999,3.603781663
8,0,2500032,1.805049288
8,1,2500032,1.803738682
8,2,2500032,1.803619688
8,3,2500031,1.802854502
8,4,2499968,1.808064213
8,5,2499968,1.813125684
8,6,2499968,1.803704417
8,7,2499968,1.808809972
16,0,1250048,0.907493670
16,1,1250048,0.908466287
16,2,1250048,0.907467822
16,3,1250047,0.905385689
16,4,1249984,0.907190197
16,5,1249984,0.905348118
16,6,1249984,0.906108162
16,7,1249984,0.908661747
16,8,1249984,0.909112307
16,9,1249984,1.012953218
16,10,1249984,0.905028093
16,11,1249984,0.907374305
16,12,1249984,0.906503349
16,13,1249984,0.949411271
16,14,1249984,0.908839563
16,15,1249984,1.013641458
32,0,625024,0.455677283
32,1,625024,0.453070509
32,2,625024,0.455006496
32,3,625024,0.452857817
32,4,625024,0.455395500
32,5,625024,0.454695058
32,6,625024,0.456535203
32,7,625024,0.453078865
32,8,625024,0.685120210
32,9,625024,0.456652736
32,10,625024,0.455361827
32,11,625024,0.685255285
32,12,625024,0.452515621
32,13,625024,0.455094963
32,14,625024,0.455190373
32,15,625024,0.456378898
32,16,625024,0.665116282
32,17,625024,0.454090293
32,18,625024,0.568110055
32,19,625023,0.589941620
32,20,624960,0.455131612
32,21,624960,0.783007144
32,22,624960,0.453731264
32,23,624960,0.455221362
32,24,624960,0.454708132
32,25,624960,0.771107831
32,26,624960,0.783356415
32,27,624960,0.613136444
32,28,624960,0.455349955
32,29,624960,0.454700578
32,30,624960,0.613864842
32,31,624960,0.454918830
128,0,156288,0.117592997
128,1,156288,0.117440650
128,2,156288,0.118331482
128,3,156288,0.118601643
128,4,156288,0.117737330
128,5,156288,0.171864443
128,6,156288,0.119085076
128,7,156288,0.115919327
128,8,156288,0.172081955
128,9,156288,0.116921098
128,10,156288,0.115849845
128,11,156288,0.117549405
128,12,156288,0.116060924
128,13,156288,0.116927170
128,14,156288,0.116819777
128,15,156288,0.116285568
128,16,156288,0.115771474
128,17,156288,0.214166958
128,18,156288,0.180115164
128,19,156288,0.115444045
128,20,156288,0.210010689
128,21,156288,0.116635138
128,22,156288,0.115601582
128,23,156288,0.116095376
128,24,156288,0.116460036
128,25,156288,0.115322074
128,26,156288,0.116444948
128,27,156288,0.115652769
128,28,156288,0.214690599
128,29,156288,0.174075291
128,30,156288,0.174974752
128,31,156288,0.116844293
128,32,156288,0.116573115
128,33,156288,0.116684886
128,34,156288,0.118415762
128,35,156288,0.116137704
128,36,156288,0.117016421
128,37,156288,0.116372327
128,38,156288,0.116882279
128,39,156288,0.116535184
128,40,156288,0.117348458
128,41,156288,0.116227384
128,42,156288,0.116603373
128,43,156288,0.115607763
128,44,156288,0.116134759
128,45,156288,0.147619971
128,46,156288,0.117449549
128,47,156288,0.147056248
128,48,156288,0.117709546
128,49,156288,0.117247434
128,50,156288,0.117118440
128,51,156287,0.117563951
128,52,156224,0.116968146
128,53,156224,0.118639203
128,54,156224,0.116445379
128,55,156224,0.117243166
128,56,156224,0.117233728
128,57,156224,0.118932266
128,58,156224,0.117847878
128,59,156224,0.117106106
128,60,156224,0.117792733
128,61,156224,0.117942466
128,62,156224,0.117267411
128,63,156224,0.119423844
128,64,156224,0.120225110
128,65,156224,0.117075786
128,66,156224,0.117326689
128,67,156224,0.117493154
128,68,156224,0.117658476
128,69,156224,0.116928167
128,70,156224,0.117950296
128,71,156224,0.117754447
128,72,156224,0.117170495
128,73,156224,0.117246248
128,74,156224,0.116676512
128,75,156224,0.117591719
128,76,156224,0.116585000
128,77,156224,0.115999585
128,78,156224,0.117360343
128,79,156224,0.116559241
128,80,156224,0.117460120
128,81,156224,0.118256103
128,82,156224,0.120136776
128,83,156224,0.117125437
128,84,156224,0.117473314
128,85,156224,0.119870592
128,86,156224,0.118950836
128,87,156224,0.115972470
128,88,156224,0.117645961
128,89,156224,0.118534599
128,90,156224,0.117365511
128,91,156224,0.118587299
128,92,156224,0.117071275
128,93,156224,0.118788419
128,94,156224,0.118034014
128,95,156224,0.116602129
128,96,156224,0.115963278
128,97,156224,0.116315974
128,98,156224,0.116382680
128,99,156224,0.115501716
128,100,156224,0.116366058
128,101,156224,0.115937157
128,102,156224,0.116300474
128,103,156224,0.116154579
128,104,156224,0.117199362
128,105,156224,0.116827028
128,106,156224,0.116161872
128,107,156224,0.115481257
128,108,156224,0.116153687
128,109,156224,0.116626761
128,110,156224,0.116778236
128,111,156224,0.117231933
128,112,156224,0.117581302
128,113,156224,0.116734100
128,114,156224,0.116056971
128,115,156224,0.117210325
128,116,156224,0.117625617
128,117,156224,0.116059756
128,118,156224,0.116937837
128,119,156224,0.118022001
128,120,156224,0.117205277
128,121,156224,0.116935913
128,122,156224,0.117434723
128,123,156224,0.115959285
128,124,156224,0.117838852
128,125,156224,0.116630192
128,126,156224,0.116043906
128,127,156224,0.116466600
