N,Chunk_Size,Processes,Threads_Per_Process,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,32,1,2,2,1.006434885,0.002698226,1.090667004
10000000,32,2,2,4,1.018369836,2.655395073,3.808943600
10000000,32,4,2,8,1.064863258,8.750994330,10.000580773
10000000,32,8,2,16,1.064958739,10.502509972,11.928449553
10000000,32,16,2,32,0.547004266,10.292733159,11.318997386
10000000,32,32,2,64,0.296927318,10.670211469,11.304260595
10000000,32,64,2,128,0.192948971,11.062011138,11.776869133
