N,Chunk_Size,Processes,Threads_Per_Process,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,64,1,2,2,1.005067124,0.002193999,1.072217825
10000000,64,2,2,4,1.012281612,2.680675254,3.822125937
10000000,64,4,2,8,1.020970081,8.728127287,9.938928251
10000000,64,8,2,16,1.053965838,10.228162820,11.635107621
10000000,64,16,2,32,0.546968090,10.225280462,11.202721563
10000000,64,32,2,64,0.290971423,10.968329736,11.565406103
10000000,64,64,2,128,0.162990543,11.358193480,12.024426322
