N,Chunk_Size,Processes,Threads_Per_Process,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,16,8,1,8,0.256121975,0.124047712,0.447698194
10000000,16,8,2,16,0.131751055,0.206550221,0.401319712
10000000,16,8,4,32,0.094538233,0.120192721,0.260212390
10000000,16,8,8,64,0.058849617,0.168283458,0.291234300
10000000,16,8,16,128,0.030292942,0.134333729,0.227050047
