N,Chunk_Size,Processes,Threads_Per_Process,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,1,1,2,2,1.065915574,0.002809882,1.138634459
10000000,1,2,2,4,1.041812325,2.721912637,3.866750022
10000000,1,4,2,8,1.040964836,8.690256544,9.928379101
10000000,1,8,2,16,1.064934204,10.187021667,11.593793251
10000000,1,16,2,32,0.561893658,10.774512110,11.790303357
10000000,1,32,2,64,0.287992930,11.780282959,12.505373025
10000000,1,64,2,128,0.168932066,11.161608530,11.840179155
