N,Processes,Chunk_Size,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
40000000,1,16,14.380402,0.006070,14.627093
40000000,2,16,7.200033,0.045375,7.494231
40000000,4,16,3.605411,0.125174,4.010977
40000000,8,16,1.808471,0.130423,2.201970
40000000,16,16,0.923215,0.187785,1.338982
40000000,32,16,0.687351,0.460548,1.182707
40000000,128,16,0.131336,0.548652,0.931233
