N,Processes,Threads,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,8,16,128,0.047876614,0.167752919,0.288397867
11000000,8,16,128,0.044103227,0.139051864,0.260029513
12000000,8,16,128,0.047063237,0.161768856,0.299560612
13000000,8,16,128,0.049027363,0.175789156,0.324267667
14000000,8,16,128,0.059140780,0.410538814,0.560191182
15000000,8,16,128,0.065166973,0.136670857,0.291494948
16000000,8,16,128,0.067607153,0.167015707,0.337620992
17000000,8,16,128,0.072165172,0.172455671,0.359003554
18000000,8,16,128,0.080788911,0.193123394,0.388790826
19000000,8,16,128,0.077384551,0.210913683,0.410708133
20000000,8,16,128,0.081177957,0.370219878,0.572757975
21000000,8,16,128,0.099975853,0.244194987,0.468501041
22000000,8,16,128,0.090071796,0.395182242,0.639962165
23000000,8,16,128,0.091880332,0.472263118,0.730289713
24000000,8,16,128,0.099908877,0.475483681,0.728981528
25000000,8,16,128,0.107452336,0.263438171,0.529408272
26000000,8,16,128,0.108463115,0.227329256,0.503927957
27000000,8,16,128,0.111781343,0.253032487,0.543190871
28000000,8,16,128,0.121440187,0.639602446,0.933422387
29000000,8,16,128,0.120067885,0.234878412,0.546514478
30000000,8,16,128,0.124885335,0.265463415,0.582064418
31000000,8,16,128,0.126741691,0.274436221,0.591891980
32000000,8,16,128,0.145044504,0.249175243,0.578433763
33000000,8,16,128,0.155785292,0.295952467,0.628835139
34000000,8,16,128,0.161692169,0.296656687,0.643269248
35000000,8,16,128,0.144959442,0.635808932,0.987935511
36000000,8,16,128,0.155714257,0.459242647,0.814176294
37000000,8,16,128,0.216351743,0.372053452,0.756449253
38000000,8,16,128,0.220660881,0.397188322,0.813374362
39000000,8,16,128,0.226892129,0.373202762,0.835161400
40000000,8,16,128,0.180670358,0.711105328,1.157305018
