N,Threads,Computational_Time_sec,Overall_Time_sec
10000000,1,2.182891,7.016592
10000000,2,2.044133,6.451496
10000000,4,1.075947,5.250472
10000000,8,0.621916,4.934180
10000000,16,0.411845,4.601986
10000000,32,0.404453,4.631199
10000000,64,0.410376,4.787742
