N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,128,0.030964,0.161675,0.273728
11000000,128,0.036539,0.193052,0.323809
12000000,128,0.028609,0.178984,0.314707
13000000,128,0.030842,0.196998,0.341570
14000000,128,0.050560,0.239742,0.441225
15000000,128,0.043267,0.214571,0.395960
16000000,128,0.058393,0.236566,0.443795
17000000,128,0.047067,0.257401,0.483679
18000000,128,0.072477,0.301126,0.483412
19000000,128,0.049699,0.281143,0.482090
20000000,128,0.052112,0.284682,0.520737
21000000,128,0.055830,0.619125,0.861679
22000000,128,0.058320,0.328006,0.580940
23000000,128,0.064816,0.325481,0.596386
24000000,128,0.065338,0.329405,0.603999
25000000,128,0.072417,0.349312,0.650688
26000000,128,0.070482,0.353473,0.682371
27000000,128,0.078136,0.366992,0.670817
28000000,128,0.076292,0.403450,0.687804
29000000,128,0.099679,0.430561,0.748482
30000000,128,0.087774,0.459315,1.350738
31000000,128,0.112396,0.397135,1.168925
32000000,128,0.159438,0.454412,0.777032
33000000,128,0.099176,0.460272,0.868256
34000000,128,0.114016,0.815636,1.194662
35000000,128,0.161540,0.500633,0.845451
36000000,128,0.109557,0.851251,1.252155
37000000,128,0.110606,0.635592,1.021470
38000000,128,0.205223,0.579568,1.565480
39000000,128,0.212908,0.915680,1.329431
40000000,128,0.126157,0.526177,1.035554
