N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,1,2.012549,0.002545,2.087069
10000000,2,1.007638,0.043213,1.119576
10000000,4,0.506520,0.077218,0.654274
10000000,8,0.256197,0.118398,0.451531
10000000,16,0.130820,0.114271,0.316777
10000000,32,0.070437,0.130618,0.275285
10000000,64,0.054616,0.146772,0.318405
10000000,128,0.034470,0.213604,0.320694
