N,Processes,Threads,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,8,16,128,0.032042555,0.096071925,0.191363121
11000000,8,16,128,0.039479702,0.094542818,0.201723337
12000000,8,16,128,0.031862260,0.161210163,0.276083399
13000000,8,16,128,0.039278385,0.180681908,0.320166746
14000000,8,16,128,0.045631379,0.293274546,0.432450791
15000000,8,16,128,0.040807138,0.149236837,0.287672587
16000000,8,16,128,0.046109912,0.138563203,0.279632198
17000000,8,16,128,0.047235436,0.166706292,0.323141318
18000000,8,16,128,0.055211121,0.184285682,0.350688971
19000000,8,16,128,0.057462267,0.209928630,0.384254938
20000000,8,16,128,0.060165165,0.174955837,0.358995054
21000000,8,16,128,0.067763028,0.194361477,0.400295538
22000000,8,16,128,0.067961723,0.373565865,0.613567434
23000000,8,16,128,0.074939536,0.194693354,0.423201143
24000000,8,16,128,0.073713122,0.271648123,0.506501594
25000000,8,16,128,0.076142184,0.381523831,0.633604158
26000000,8,16,128,0.084298600,0.206646451,0.455774776
27000000,8,16,128,0.089095580,0.205651915,0.480450593
28000000,8,16,128,0.085570016,0.279306122,0.564145361
29000000,8,16,128,0.091317726,0.253404105,0.532176023
30000000,8,16,128,0.102627035,0.330302499,0.622958568
31000000,8,16,128,0.104478167,0.251497055,0.565561396
32000000,8,16,128,0.107163073,0.241377399,0.572239454
33000000,8,16,128,0.108210137,0.257928829,0.577040800
34000000,8,16,128,0.110607486,0.272510630,0.600239391
35000000,8,16,128,0.123418897,0.242946170,0.575546108
36000000,8,16,128,0.124865146,0.734608547,1.095456338
37000000,8,16,128,0.127528229,0.258021054,0.621030285
38000000,8,16,128,0.142404098,0.574785943,0.948494093
39000000,8,16,128,0.135459519,0.257676924,0.649551268
40000000,8,16,128,0.136315824,0.890684626,1.281040525
