N,Processes,Threads_Per_Proc,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,1,1,1,2.047165075,0.002594320,2.120788391
10000000,1,2,2,1.092189007,0.002921608,1.164429372
10000000,2,2,4,0.549093949,0.036414453,0.680807372
10000000,2,4,8,0.282661317,0.041659741,0.405067048
10000000,4,4,16,0.154850156,0.105505058,0.345333558
10000000,4,8,32,0.099404879,0.100342735,0.262062541
10000000,8,8,64,0.049701838,0.118370846,0.238725287
10000000,8,16,128,0.049577715,0.137849580,0.251759467
