N,Processes,Threads_Per_Proc,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,1,1,1,2.009435116,0.002579212,2.081979164
10000000,1,2,2,1.025670160,0.002943891,1.095682918
10000000,2,2,4,0.513760984,0.036810080,0.618989133
10000000,2,4,8,0.257368282,0.038216607,0.366130541
10000000,4,4,16,0.135627235,0.091811561,0.288664185
10000000,4,8,32,0.090762626,0.105580000,0.238045152
10000000,8,8,64,0.042871419,0.099493572,0.201019964
10000000,8,16,128,0.035805198,0.138961533,0.232171568
