N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,16,0.158359,0.117295,0.328442
11000000,16,0.153952,0.118075,0.343589
12000000,16,0.168970,0.138727,0.398783
13000000,16,0.187795,0.133553,0.417051
14000000,16,0.226272,0.132200,0.458727
15000000,16,0.246078,0.218849,0.558285
16000000,16,0.284653,0.168035,0.542243
17000000,16,0.308919,0.285297,0.714734
18000000,16,0.314887,0.167850,0.609999
19000000,16,0.342881,0.193984,0.659447
20000000,16,0.384920,0.184625,0.785228
21000000,16,0.558963,0.377293,0.950966
22000000,16,0.621130,0.358700,0.961102
23000000,16,0.647279,0.410020,1.107325
24000000,16,0.666601,0.341175,1.081224
25000000,16,0.712411,0.371577,1.112711
26000000,16,0.754647,0.397424,1.149784
27000000,16,0.803976,0.490659,1.277238
28000000,16,0.849659,0.432573,1.229496
29000000,16,0.818986,0.440635,1.275082
30000000,16,0.910102,0.524716,1.341078
31000000,16,0.962650,0.551985,1.423224
32000000,16,1.140993,0.537852,1.501829
33000000,16,1.033063,0.430432,1.556852
34000000,16,1.056972,0.671160,1.718185
35000000,16,1.057499,0.566849,1.632259
36000000,16,1.309056,0.651641,1.796872
37000000,16,1.275881,0.688035,1.965359
38000000,16,1.346724,0.718327,2.013063
39000000,16,1.015223,0.323301,1.556818
40000000,16,0.924127,0.346737,1.526659
