N,Processes,Computation_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,128,0.031966,0.209587,0.332920
11000000,128,0.035370,0.192150,0.324099
12000000,128,0.039137,0.203856,0.343355
13000000,128,0.043556,0.225022,0.491314
14000000,128,0.053270,0.237178,0.385345
15000000,128,0.036086,0.226524,0.397687
16000000,128,0.058856,0.261596,0.436867
17000000,128,0.063840,0.281005,0.454481
18000000,128,0.072266,0.302987,1.312041
19000000,128,0.080705,0.294138,0.480046
20000000,128,0.082761,0.322076,0.542039
21000000,128,0.084360,0.310363,0.539559
22000000,128,0.056161,0.323508,0.553222
23000000,128,0.101612,0.373234,0.602874
24000000,128,0.108881,0.389626,0.642651
25000000,128,0.064648,0.348190,0.605524
26000000,128,0.070657,0.369379,0.629023
27000000,128,0.120270,0.428829,0.696815
28000000,128,0.134958,0.456795,0.808685
29000000,128,0.140900,0.457380,0.757858
30000000,128,0.144535,0.461476,0.762164
31000000,128,0.157291,0.495953,0.846798
32000000,128,0.091906,0.415337,0.736949
33000000,128,0.095139,0.426381,0.759067
34000000,128,0.097430,0.454834,0.798072
35000000,128,0.104333,0.477069,0.852483
36000000,128,0.108543,0.482913,0.944006
37000000,128,0.153210,0.513327,0.870469
38000000,128,0.132925,0.467121,0.865068
39000000,128,0.166968,0.522242,0.887297
40000000,128,0.215217,0.546527,0.944923
