N,Processes,Threads_Per_Proc,Total_Workers,Computational_Time_sec,Communication_Time_sec,Overall_Time_sec
10000000,4,1,4,0.520870926,0.083368353,0.673569580
10000000,4,2,8,0.275717340,0.079636594,0.432125379
10000000,4,4,16,0.142735691,0.092170550,0.310310443
10000000,4,8,32,0.085379264,0.074831569,0.225875925
10000000,4,16,64,0.064181950,0.079622618,0.206069323
10000000,4,32,128,0.054632679,0.080054173,0.200889418
10000000,4,64,256,0.058024407,0.076971701,0.200959701
10000000,4,128,512,0.059965858,0.080049586,0.207548657
